person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,cb_person_default_on_file,loan_status
23,130000,RENT,7.0,VENTURE,B,N,0
24,133300,RENT,6.0,DEBTCONSOLIDATION,B,N,0
24,134000,RENT,8.0,PERSONAL,D,Y,0
25,134000,RENT,7.0,MEDICAL,B,N,0
25,135000,RENT,5.0,EDUCATION,B,N,0
26,135660,RENT,10.0,DEBTCONSOLIDATION,B,N,0
25,145000,RENT,0.0,EDUCATION,B,N,0
23,150000,RENT,4.0,EDUCATION,B,N,0
23,16000,MORTGAGE,3.0,DEBTCONSOLIDATION,C,Y,0
23,16000,MORTGAGE,1.0,MEDICAL,C,N,1
22,16094,MORTGAGE,2.0,VENTURE,A,N,1
25,49500,RENT,6.0,PERSONAL,C,N,1
23,60000,RENT,4.0,DEBTCONSOLIDATION,B,N,1
24,84200,RENT,8.0,MEDICAL,C,N,0
22,16800,MORTGAGE,5.0,EDUCATION,B,N,0
24,92000,RENT,8.0,MEDICAL,B,N,0
25,125800,MORTGAGE,0.0,MEDICAL,D,N,1
25,54000,RENT,2.0,PERSONAL,C,N,1
23,62500,RENT,1.0,EDUCATION,B,N,1
26,56045,RENT,1.0,MEDICAL,D,N,1
22,74000,RENT,7.0,DEBTCONSOLIDATION,D,Y,1
24,65453,RENT,9.0,MEDICAL,D,N,1
24,89908,RENT,1.0,VENTURE,B,N,0
23,100000,RENT,0.0,PERSONAL,C,Y,0
23,103000,RENT,6.0,PERSONAL,D,N,0
25,111996,RENT,9.0,PERSONAL,D,N,0
21,16800,MORTGAGE,0.0,VENTURE,B,N,1
23,144000,RENT,0.0,EDUCATION,B,N,0
22,43000,RENT,7.0,DEBTCONSOLIDATION,C,Y,1
23,47004,RENT,1.0,VENTURE,B,N,1
24,48000,RENT,4.0,VENTURE,D,Y,1
26,48000,RENT,4.0,MEDICAL,A,N,1
21,44964,RENT,2.0,EDUCATION,D,Y,1
22,17400,MORTGAGE,6.0,VENTURE,B,N,0
26,60000,RENT,0.0,PERSONAL,A,N,1
25,60000,RENT,3.0,PERSONAL,B,N,1
22,60000,RENT,0.0,PERSONAL,A,N,1
21,60000,RENT,5.0,MEDICAL,B,N,1
26,62004,RENT,9.0,DEBTCONSOLIDATION,A,N,1
22,62400,RENT,3.0,EDUCATION,D,N,1
26,65000,RENT,10.0,DEBTCONSOLIDATION,A,N,1
22,17760,MORTGAGE,6.0,EDUCATION,C,Y,1
23,66000,RENT,6.0,VENTURE,A,N,1
24,60000,RENT,0.0,VENTURE,D,N,1
25,66143,RENT,9.0,EDUCATION,A,N,1
24,70000,RENT,8.0,EDUCATION,B,N,1
23,74000,RENT,7.0,DEBTCONSOLIDATION,B,N,1
22,75000,RENT,6.0,EDUCATION,B,N,1
24,75000,RENT,9.0,MEDICAL,B,N,1
23,78000,RENT,4.0,PERSONAL,C,N,1
24,80000,RENT,2.0,MEDICAL,B,N,0
23,74700,RENT,6.0,PERSONAL,D,N,1
26,88596,RENT,3.0,PERSONAL,B,N,0
25,95000,RENT,4.0,EDUCATION,A,N,0
25,95000,RENT,9.0,VENTURE,A,N,0
26,100000,RENT,5.0,PERSONAL,C,N,0
24,110000,RENT,7.0,VENTURE,D,N,0
22,120000,RENT,4.0,EDUCATION,B,N,0
24,120000,RENT,1.0,VENTURE,B,N,0
24,124080,RENT,4.0,PERSONAL,D,Y,0
23,18000,MORTGAGE,1.0,MEDICAL,D,N,1
24,130000,RENT,7.0,DEBTCONSOLIDATION,B,N,0
25,135000,RENT,8.0,PERSONAL,B,N,0
23,150000,RENT,0.0,EDUCATION,A,N,0
23,138000,RENT,7.0,DEBTCONSOLIDATION,D,Y,1
23,120000,RENT,4.0,MEDICAL,C,N,0
24,54996,RENT,2.0,PERSONAL,B,N,1
24,18000,MORTGAGE,0.0,DEBTCONSOLIDATION,B,N,1
25,102000,RENT,9.0,DEBTCONSOLIDATION,C,N,0
25,18000,MORTGAGE,1.0,MEDICAL,B,N,1
22,66960,RENT,1.0,VENTURE,A,N,1
22,43385,RENT,7.0,PERSONAL,C,N,1
25,56544,RENT,3.0,EDUCATION,B,N,1
23,60000,RENT,2.0,VENTURE,B,N,1
24,18000,MORTGAGE,3.0,VENTURE,C,Y,0
25,63208,RENT,9.0,EDUCATION,B,N,1
23,68000,RENT,7.0,EDUCATION,B,N,1
25,80000,RENT,9.0,VENTURE,C,N,0
24,88000,RENT,1.0,VENTURE,D,N,1
22,58600,RENT,5.0,MEDICAL,B,N,1
23,70000,RENT,7.0,DEBTCONSOLIDATION,C,N,1
24,18500,MORTGAGE,8.0,PERSONAL,A,N,1
23,35000,RENT,2.0,DEBTCONSOLIDATION,B,N,1
25,52000,RENT,4.0,PERSONAL,B,N,1
21,18701,MORTGAGE,0.0,PERSONAL,D,Y,1
22,57000,RENT,6.0,EDUCATION,B,N,1
25,58000,RENT,0.0,MEDICAL,C,N,1
23,60000,RENT,6.0,DEBTCONSOLIDATION,B,N,1
24,60000,RENT,3.0,VENTURE,C,Y,1
25,18840,MORTGAGE,5.0,EDUCATION,B,N,1
22,70000,RENT,3.0,EDUCATION,B,N,1
23,74064,RENT,3.0,DEBTCONSOLIDATION,B,N,0
24,76597,RENT,5.0,EDUCATION,B,N,0
26,77000,RENT,0.0,VENTURE,A,N,0
24,80000,RENT,0.0,MEDICAL,A,N,0
26,82600,RENT,10.0,VENTURE,B,N,0
23,84000,RENT,3.0,DEBTCONSOLIDATION,B,N,0
25,77650,RENT,8.0,PERSONAL,B,N,1
21,19012,MORTGAGE,0.0,DEBTCONSOLIDATION,D,N,1
23,99996,RENT,3.0,DEBTCONSOLIDATION,A,N,0
23,110000,RENT,0.0,PERSONAL,B,N,0
22,19200,MORTGAGE,6.0,PERSONAL,B,N,1
25,57000,RENT,4.0,PERSONAL,B,N,1
24,54000,RENT,5.0,VENTURE,C,N,1
26,63000,RENT,2.0,DEBTCONSOLIDATION,C,Y,1
22,82000,RENT,3.0,PERSONAL,C,Y,0
22,78000,RENT,6.0,DEBTCONSOLIDATION,B,N,1
24,112140,RENT,8.0,MEDICAL,A,N,0
24,59000,RENT,5.0,MEDICAL,D,N,1
24,116000,RENT,5.0,EDUCATION,D,Y,0
25,60000,RENT,5.0,EDUCATION,A,N,1
22,31000,RENT,5.0,DEBTCONSOLIDATION,B,N,1
25,47052,RENT,5.0,VENTURE,B,N,1
25,51060,RENT,9.0,VENTURE,A,N,1
22,19200,MORTGAGE,6.0,DEBTCONSOLIDATION,C,Y,1
22,53000,RENT,3.0,MEDICAL,B,N,1
24,56000,RENT,8.0,VENTURE,D,Y,1
24,65000,RENT,4.0,EDUCATION,D,Y,1
21,35000,RENT,3.0,VENTURE,B,N,1
23,19200,MORTGAGE,7.0,MEDICAL,A,N,1
26,40000,RENT,3.0,MEDICAL,A,N,1
23,63000,RENT,2.0,MEDICAL,B,N,1
26,19200,MORTGAGE,5.0,VENTURE,A,N,1
22,59000,RENT,2.0,PERSONAL,B,N,1
22,70500,RENT,3.0,PERSONAL,C,Y,0
26,65219,RENT,11.0,DEBTCONSOLIDATION,D,N,1
22,75000,RENT,2.0,EDUCATION,B,N,0
22,19200,MORTGAGE,3.0,MEDICAL,D,N,1
23,80000,RENT,3.0,MEDICAL,B,N,0
24,84000,RENT,8.0,MEDICAL,B,N,0
22,93000,RENT,1.0,EDUCATION,B,N,0
26,97000,RENT,1.0,EDUCATION,A,N,0
26,97000,RENT,3.0,EDUCATION,C,Y,0
25,100000,RENT,2.0,PERSONAL,D,Y,1
25,125000,RENT,9.0,EDUCATION,C,Y,0
23,82000,RENT,2.0,PERSONAL,B,N,0
21,19500,MORTGAGE,0.0,EDUCATION,B,N,1
26,50000,RENT,7.0,VENTURE,A,N,1
23,70000,RENT,2.0,EDUCATION,C,Y,0
23,54000,RENT,7.0,PERSONAL,A,N,1
26,26000,RENT,10.0,EDUCATION,B,N,1
24,33000,RENT,1.0,DEBTCONSOLIDATION,B,N,1
24,35364,RENT,1.0,MEDICAL,B,N,1
25,38000,RENT,4.0,MEDICAL,D,N,1
23,32000,RENT,3.0,DEBTCONSOLIDATION,D,N,1
25,38004,RENT,6.0,MEDICAL,C,N,1
23,20000,MORTGAGE,2.0,MEDICAL,B,N,0
25,38556,RENT,9.0,PERSONAL,C,Y,1
23,32900,RENT,1.0,EDUCATION,D,N,1
24,40000,RENT,4.0,PERSONAL,B,N,1
21,36000,RENT,5.0,MEDICAL,D,Y,1
26,20000,MORTGAGE,5.0,MEDICAL,A,N,0
25,42000,RENT,2.0,EDUCATION,C,N,1
22,42224,RENT,7.0,VENTURE,A,N,1
23,20000,MORTGAGE,7.0,EDUCATION,C,Y,0
25,38000,RENT,9.0,MEDICAL,B,N,1
22,45000,RENT,0.0,EDUCATION,A,N,1
23,45000,RENT,4.0,PERSONAL,B,N,1
22,45000,RENT,1.0,DEBTCONSOLIDATION,C,Y,1
24,39000,RENT,5.0,MEDICAL,D,N,1
24,46500,RENT,5.0,EDUCATION,B,N,1
22,48000,RENT,7.0,VENTURE,B,N,1
22,42000,RENT,1.0,PERSONAL,D,N,1
22,48500,RENT,1.0,VENTURE,B,N,1
23,49400,RENT,0.0,EDUCATION,A,N,1
25,20000,MORTGAGE,1.0,VENTURE,A,N,0
25,50000,RENT,10.0,DEBTCONSOLIDATION,A,N,1
25,50000,RENT,9.0,EDUCATION,C,N,1
22,50000,RENT,6.0,DEBTCONSOLIDATION,C,N,1
24,50866,RENT,6.0,MEDICAL,B,N,1
24,51000,RENT,8.0,VENTURE,B,N,1
22,51000,RENT,5.0,EDUCATION,B,N,1
22,51000,RENT,0.0,EDUCATION,C,N,1
24,51500,RENT,6.0,VENTURE,B,N,1
25,51996,RENT,9.0,VENTURE,B,N,1
25,52000,RENT,1.0,EDUCATION,B,N,1
22,46000,RENT,2.0,DEBTCONSOLIDATION,D,Y,1
26,20000,MORTGAGE,1.0,PERSONAL,A,N,0
24,52000,RENT,8.0,EDUCATION,D,Y,1
25,46000,RENT,9.0,DEBTCONSOLIDATION,C,Y,1
22,47000,RENT,5.0,MEDICAL,D,N,1
22,54000,RENT,2.0,EDUCATION,B,N,1
23,48000,RENT,7.0,MEDICAL,D,N,1
23,48000,RENT,0.0,MEDICAL,D,N,1
23,54000,RENT,1.0,VENTURE,B,N,1
24,48912,RENT,0.0,MEDICAL,C,N,1
26,54996,RENT,8.0,EDUCATION,B,N,1
25,55000,RENT,3.0,DEBTCONSOLIDATION,A,N,1
25,55000,RENT,0.0,VENTURE,B,N,1
22,20000,MORTGAGE,0.0,PERSONAL,B,N,0
23,55000,RENT,5.0,DEBTCONSOLIDATION,B,N,1
25,55200,RENT,7.0,VENTURE,B,N,1
23,20004,MORTGAGE,6.0,PERSONAL,A,N,0
23,57000,RENT,3.0,EDUCATION,D,N,1
22,51012,RENT,1.0,PERSONAL,D,Y,1
22,58000,RENT,0.0,DEBTCONSOLIDATION,C,N,1
23,58800,RENT,7.0,DEBTCONSOLIDATION,A,N,1
26,59000,RENT,10.0,MEDICAL,A,N,1
23,60000,RENT,7.0,MEDICAL,A,N,1
24,54000,RENT,2.0,VENTURE,D,N,1
24,60000,RENT,0.0,PERSONAL,B,N,1
25,54000,RENT,6.0,PERSONAL,B,N,1
24,60000,RENT,8.0,VENTURE,A,N,1
23,54000,RENT,6.0,DEBTCONSOLIDATION,D,Y,1
23,54000,RENT,2.0,PERSONAL,B,N,1
22,60000,RENT,4.0,EDUCATION,A,N,1
25,60000,RENT,2.0,EDUCATION,B,N,1
22,20400,MORTGAGE,6.0,EDUCATION,D,Y,0
24,20400,MORTGAGE,5.0,DEBTCONSOLIDATION,B,N,0
25,60000,RENT,9.0,EDUCATION,B,N,1
25,54000,RENT,1.0,PERSONAL,D,Y,1
23,60000,RENT,3.0,EDUCATION,B,N,1
25,54000,RENT,1.0,DEBTCONSOLIDATION,D,N,1
24,60000,RENT,0.0,PERSONAL,B,N,1
24,60000,RENT,8.0,PERSONAL,D,N,1
25,62000,RENT,3.0,MEDICAL,A,N,1
24,56000,RENT,3.0,EDUCATION,D,Y,1
25,62400,RENT,7.0,VENTURE,B,N,1
25,63000,RENT,3.0,MEDICAL,B,N,1
26,58000,RENT,0.0,DEBTCONSOLIDATION,B,N,1
23,65000,RENT,0.0,MEDICAL,B,N,1
23,65000,RENT,0.0,MEDICAL,B,N,1
23,65000,RENT,7.0,VENTURE,B,N,1
26,59000,RENT,3.0,PERSONAL,C,N,1
23,59000,RENT,7.0,EDUCATION,C,N,1
21,21000,MORTGAGE,5.0,DEBTCONSOLIDATION,D,Y,1
26,65004,RENT,7.0,DEBTCONSOLIDATION,B,N,1
25,59004,RENT,1.0,PERSONAL,D,Y,1
23,59004,RENT,5.0,DEBTCONSOLIDATION,B,N,1
23,65500,RENT,2.0,DEBTCONSOLIDATION,C,N,1
22,66996,RENT,3.0,EDUCATION,B,N,0
23,67000,RENT,0.0,MEDICAL,B,N,0
26,68000,RENT,10.0,EDUCATION,B,N,0
25,68000,RENT,4.0,PERSONAL,C,Y,0
24,62400,RENT,4.0,DEBTCONSOLIDATION,D,N,1
22,70000,RENT,2.0,PERSONAL,A,N,0
25,71004,RENT,9.0,PERSONAL,D,N,0
22,21000,MORTGAGE,4.0,DEBTCONSOLIDATION,B,N,0
23,71004,RENT,8.0,EDUCATION,D,N,0
23,55392,RENT,3.0,MEDICAL,D,Y,1
24,72000,RENT,5.0,MEDICAL,B,N,0
23,66000,RENT,1.0,VENTURE,D,N,1
22,66000,RENT,3.0,DEBTCONSOLIDATION,D,N,1
22,21120,MORTGAGE,3.0,DEBTCONSOLIDATION,D,Y,1
25,75000,RENT,8.0,DEBTCONSOLIDATION,B,N,0
25,21221,MORTGAGE,4.0,VENTURE,B,N,0
26,75000,RENT,5.0,MEDICAL,A,N,0
26,75000,RENT,3.0,EDUCATION,A,N,0
25,75000,RENT,0.0,PERSONAL,B,N,0
22,69000,RENT,6.0,DEBTCONSOLIDATION,B,N,1
22,75000,RENT,2.0,VENTURE,C,N,0
21,21600,MORTGAGE,6.0,PERSONAL,A,N,0
23,76000,RENT,7.0,MEDICAL,B,N,0
26,70000,RENT,7.0,DEBTCONSOLIDATION,C,N,1
22,77004,RENT,6.0,DEBTCONSOLIDATION,C,N,0
24,21600,MORTGAGE,8.0,MEDICAL,A,N,0
22,21600,MORTGAGE,6.0,VENTURE,C,N,0
23,61200,RENT,4.0,MEDICAL,B,N,1
21,21600,MORTGAGE,2.0,DEBTCONSOLIDATION,A,N,0
24,72000,RENT,6.0,DEBTCONSOLIDATION,D,Y,1
23,78000,RENT,3.0,VENTURE,B,N,0
23,78500,RENT,7.0,MEDICAL,C,Y,0
23,79000,RENT,5.0,EDUCATION,D,Y,0
23,80000,RENT,4.0,MEDICAL,A,N,0
22,62900,RENT,6.0,MEDICAL,D,N,1
24,80000,RENT,3.0,VENTURE,C,N,0
25,80000,RENT,7.0,EDUCATION,B,N,0
23,21600,MORTGAGE,7.0,EDUCATION,A,N,0
22,80000,RENT,3.0,EDUCATION,C,Y,0
26,62900,RENT,2.0,MEDICAL,C,N,1
23,80700,RENT,7.0,MEDICAL,B,N,0
22,81000,RENT,3.0,DEBTCONSOLIDATION,C,N,0
24,21600,MORTGAGE,0.0,DEBTCONSOLIDATION,D,N,1
22,82000,RENT,6.0,EDUCATION,C,Y,0
22,76654,RENT,2.0,EDUCATION,C,Y,1
24,83500,RENT,1.0,EDUCATION,C,N,0
23,84000,RENT,7.0,PERSONAL,B,N,0
25,84000,RENT,9.0,EDUCATION,C,N,0
21,21600,MORTGAGE,2.0,DEBTCONSOLIDATION,B,N,0
23,85000,RENT,0.0,MEDICAL,A,N,0
25,85000,RENT,3.0,DEBTCONSOLIDATION,B,N,0
26,73000,RENT,3.0,PERSONAL,B,N,1
21,21816,MORTGAGE,2.0,PERSONAL,B,N,0
24,21948,MORTGAGE,2.0,VENTURE,D,N,0
22,87000,RENT,5.0,DEBTCONSOLIDATION,C,N,0
22,90000,RENT,5.0,PERSONAL,B,N,0
24,90000,RENT,9.0,DEBTCONSOLIDATION,A,N,0
23,90000,RENT,2.0,MEDICAL,B,N,0
26,90000,RENT,10.0,MEDICAL,B,N,0
22,22000,MORTGAGE,6.0,EDUCATION,B,N,0
23,90000,RENT,0.0,DEBTCONSOLIDATION,C,N,0
25,91229,RENT,2.0,EDUCATION,C,N,0
26,22000,MORTGAGE,3.0,DEBTCONSOLIDATION,B,N,0
22,22000,MORTGAGE,3.0,VENTURE,A,N,0
25,22000,MORTGAGE,9.0,EDUCATION,A,N,1
25,92407,RENT,9.0,MEDICAL,B,N,0
22,22000,MORTGAGE,0.0,MEDICAL,B,N,0
24,22000,MORTGAGE,8.0,PERSONAL,A,N,0
26,93492,RENT,0.0,DEBTCONSOLIDATION,B,N,0
23,22000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,N,1
22,94500,RENT,2.0,PERSONAL,B,N,0
23,83000,RENT,7.0,DEBTCONSOLIDATION,C,N,1
23,95000,RENT,2.0,EDUCATION,B,N,0
23,96000,RENT,1.0,MEDICAL,C,N,0
22,22000,MORTGAGE,6.0,PERSONAL,A,N,0
22,85200,RENT,6.0,VENTURE,D,Y,1
22,98000,RENT,2.0,EDUCATION,B,N,0
23,99000,RENT,7.0,EDUCATION,D,N,0
23,22080,MORTGAGE,3.0,EDUCATION,A,N,0
22,74800,RENT,3.0,MEDICAL,D,Y,1
22,100000,RENT,0.0,PERSONAL,B,N,0
25,22260,MORTGAGE,9.0,PERSONAL,A,N,0
26,104000,RENT,0.0,DEBTCONSOLIDATION,B,N,0
23,93000,RENT,6.0,PERSONAL,C,N,1
23,95000,RENT,0.0,DEBTCONSOLIDATION,D,Y,1
25,96901,RENT,3.0,PERSONAL,C,N,1
23,110000,RENT,3.0,EDUCATION,B,N,0
22,110000,RENT,7.0,EDUCATION,C,N,0
22,110000,RENT,6.0,DEBTCONSOLIDATION,C,N,0
24,110000,RENT,1.0,PERSONAL,B,N,0
23,110000,RENT,2.0,VENTURE,B,N,0
22,22800,MORTGAGE,5.0,PERSONAL,A,N,0
23,22800,MORTGAGE,2.0,PERSONAL,A,N,1
23,22800,MORTGAGE,3.0,PERSONAL,A,N,0
23,120000,RENT,4.0,MEDICAL,B,N,0
24,121000,RENT,8.0,VENTURE,A,N,0
23,125000,RENT,7.0,VENTURE,B,N,0
22,22800,MORTGAGE,0.0,EDUCATION,A,N,0
25,130000,RENT,0.0,PERSONAL,C,N,0
26,130000,RENT,10.0,DEBTCONSOLIDATION,C,Y,0
24,133000,RENT,3.0,EDUCATION,D,Y,0
22,23000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,N,0
21,23000,MORTGAGE,2.0,MEDICAL,A,N,0
25,140000,RENT,9.0,EDUCATION,A,N,0
24,138000,RENT,2.0,VENTURE,D,Y,1
22,23000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,N,0
21,23000,MORTGAGE,6.0,DEBTCONSOLIDATION,C,N,0
25,58000,RENT,9.0,MEDICAL,B,N,1
26,116000,RENT,10.0,MEDICAL,B,N,0
26,19500,RENT,0.0,MEDICAL,C,N,0
25,23000,MORTGAGE,4.0,PERSONAL,C,Y,1
21,19000,RENT,0.0,EDUCATION,C,N,0
22,23000,MORTGAGE,4.0,EDUCATION,D,Y,0
25,19000,RENT,0.0,DEBTCONSOLIDATION,C,Y,0
22,23000,MORTGAGE,1.0,EDUCATION,A,N,0
22,11760,RENT,0.0,VENTURE,C,N,0
25,12000,RENT,0.0,EDUCATION,B,N,0
21,12000,RENT,1.0,EDUCATION,C,N,0
22,12000,RENT,0.0,PERSONAL,C,N,1
22,12240,RENT,1.0,PERSONAL,D,Y,1
21,14400,RENT,1.0,VENTURE,D,N,1
22,15000,RENT,0.0,MEDICAL,D,Y,1
21,16000,RENT,2.0,VENTURE,D,Y,1
22,16800,RENT,2.0,EDUCATION,C,Y,0
24,19200,RENT,2.0,EDUCATION,B,N,0
23,39600,RENT,5.0,EDUCATION,B,N,1
